2017-01-16 14:26:25 [DBG] [mail.go:55] [haina.im/monitor/monitor_centre/protocol.SendMail] send mail success!
2017-01-16 14:35:52 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
2017-01-16 14:42:06 [DBG] [mail.go:49] [haina.im/monitor/monitor_centre/protocol.SendMail] send email
2017-01-16 14:42:07 [DBG] [mail.go:55] [haina.im/monitor/monitor_centre/protocol.SendMail] send mail success!
2017-01-16 14:44:52 [DBG] [mail.go:49] [haina.im/monitor/monitor_centre/protocol.SendMail] send email
2017-01-16 14:44:52 [DBG] [mail.go:55] [haina.im/monitor/monitor_centre/protocol.SendMail] send mail success!
2017-01-16 14:44:52 [ERR] [centre.go:25] [main.main] 错误码：40000; 错误级别：1; 错误信息：不存在该进程：mysqlds --时间：2017-01-16 14:44:51

错误码：40000; 错误级别：1; 错误信息：不存在该进程：redis-serverd --时间：2017-01-16 14:44:51


2017-01-16 14:48:53 [DBG] [mail.go:49] [haina.im/monitor/monitor_centre/protocol.SendMail] send email
2017-01-16 14:48:53 [DBG] [mail.go:55] [haina.im/monitor/monitor_centre/protocol.SendMail] send mail success!
2017-01-16 14:48:53 [ERR] [centre.go:25] [main.main] 错误码：40000; 错误级别：1; 错误信息：不存在该进程：mysqlds --时间：2017-01-16 14:48:52

错误码：40000; 错误级别：1; 错误信息：不存在该进程：redis-serverd --时间：2017-01-16 14:48:52


2017-01-16 16:35:31 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
